Function                                                    Disassembly
UNKNOWN                                                     
m_ater_process_egress                                           [ B1]  B.S1          0x22b120
l_upd_get_bitrate                                                      CMPEQ.L1      5,A4,A0
m_ater_process_egress                                                  MV.L1         A4,A2
get_amr_rif_next                                                       LDW.D1T1      *A4[4],A0
m_ater_process_egress                                                  LDBU.D2T1     *B4[0],A5
get_speech_trau_ft                                                     LDBU.D1T1     *A4[0],A0
m_ater_process_egress                                                  LDW.D2T1      *+B15[11],A0
m_ater_gcf_egress                                                      CALLP.S1      0x2ba5e0,A3
_push_rts                                                              STW.D2T2      B14,*B15--[2]
m_ater_gcf_egress                                                      ADDK.S2       -56,B15
memset                                                                 MV.L1         A4,A18
m_ater_gcf_egress                                                      LDW.D1T1      *+A13[0],A0
map_ft_to_gcf_codec                                                    BNOP.S2       B3,2
m_ater_gcf_egress                                                      ADD.L2        B0,B1,B0
_pop_rts                                                               LDDW.D2T2     *++B15[1],B3:B2
m_ater_process_egress                                                  SUB.L1        A7,A3,A4
create_trau_from_amr                                                   CALLP.S1      0x2ba5e0,A3
_push_rts                                                              STW.D2T2      B14,*B15--[2]
create_trau_from_amr                                                   CALLP.S2      0x22a7a0,B3
get_amr_rif_next                                                       LDW.D1T1      *A4[4],A0
create_trau_from_amr                                                   SUB.L1        A7,A4,A4
update_amr_rif_previous_frame                                          MVK.S2        0,B0
create_trau_from_amr                                                   MVK.S2        248,B0
UNKNOWN                                                     
vector14                                                               B.S2          0x20021c
odo_os_int_stub_stub                                                   LDW.D1T1      *+A11[0],A11
krn_swap_hook                                                          STW.D2T1      A11,*B15--[2]
board_trace_reenable_swap_hook                                         MVK.S1        0x34e0,A4
krn_swap_hook                                                          MPYH.M2X      B0,A2,B0
p_mips_swap_hook                                                       CALLP.S1      0x2ba5e0,A3
_push_rts                                                              STW.D2T2      B14,*B15--[2]
p_mips_swap_hook                                                       MV.L1         A4,A10
board_get_cycle_count                                                  STW.D2T2      B3,*B15--[2]
Tramp$S$$_board_get_powerdown_timer_index                              MVK.S2        0xffffdf20,B31
board_get_powerdown_timer_index                                        STW.D2T2      B3,*B15--[2]
Tramp$S$$_board_get_core_index                                         MVK.S2        0xffffc274,B31
board_get_core_index                                                   MVC.S2        DNUM,B4
board_get_powerdown_timer_index                                        LDW.D2T2      *++B15[2],B3
board_get_cycle_count                                                  MVK.L1        0,A1
p_mips_swap_hook                                                       CALLP.S2      0x2bc328,B3
board_get_cycle_diff                                                   BNOP.S2       B3,1
